"Notes"	"Age Group"	"Age Group Code"	"Race"	"Race Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"25-34 years"	"25-34"	"White"	"2106-3"	"Male"	"M"	"1982"	"1982"	26660	16823681	158.5
	"25-34 years"	"25-34"	"White"	"2106-3"	"Male"	"M"	"1983"	"1983"	26465	17126696	154.5
	"25-34 years"	"25-34"	"White"	"2106-3"	"Male"	"M"	"1984"	"1984"	27104	17417262	155.6
	"25-34 years"	"25-34"	"White"	"2106-3"	"Male"	"M"	"1985"	"1985"	28102	17698442	158.8
	"25-34 years"	"25-34"	"White"	"2106-3"	"Male"	"M"	"1986"	"1986"	30711	17958527	171.0
	"25-34 years"	"25-34"	"White"	"2106-3"	"Male"	"M"	"1987"	"1987"	30841	18106409	170.3
	"25-34 years"	"25-34"	"White"	"2106-3"	"Male"	"M"	"1988"	"1988"	31354	18170247	172.6
	"25-34 years"	"25-34"	"White"	"2106-3"	"Male"	"M"	"1989"	"1989"	32138	18155729	177.0
	"25-34 years"	"25-34"	"White"	"2106-3"	"Male"	"M"	"1990"	"1990"	31831	18071340	176.1
	"25-34 years"	"25-34"	"White"	"2106-3"	"Male"	"M"	"1991"	"1991"	31509	18063504	174.4
	"25-34 years"	"25-34"	"White"	"2106-3"	"Male"	"M"	"1992"	"1992"	31035	17935899	173.0
	"25-34 years"	"25-34"	"White"	"2106-3"	"Male"	"M"	"1993"	"1993"	31376	17744286	176.8
	"25-34 years"	"25-34"	"White"	"2106-3"	"Male"	"M"	"1994"	"1994"	30748	17578137	174.9
	"25-34 years"	"25-34"	"White"	"2106-3"	"Male"	"M"	"1995"	"1995"	29952	17420554	171.9
	"25-34 years"	"25-34"	"White"	"2106-3"	"Male"	"M"	"1996"	"1996"	25671	17253207	148.8
	"25-34 years"	"25-34"	"White"	"2106-3"	"Male"	"M"	"1997"	"1997"	22748	16987818	133.9
	"25-34 years"	"25-34"	"White"	"2106-3"	"Male"	"M"	"1998"	"1998"	20987	16686686	125.8
"Total"	"25-34 years"	"25-34"	"White"	"2106-3"	"Male"	"M"			570360	347382223	164.2
"Total"	"25-34 years"	"25-34"	"White"	"2106-3"					780099	688021905	113.4
"Total"	"25-34 years"	"25-34"							1048755	791833641	132.4
	"35-44 years"	"35-44"	"Black or African American"	"2054-5"	"Female"	"F"	"1979"	"1979"	4683	1458000	321.2
	"35-44 years"	"35-44"	"Black or African American"	"2054-5"	"Female"	"F"	"1980"	"1980"	4819	1487812	323.9
	"35-44 years"	"35-44"	"Black or African American"	"2054-5"	"Female"	"F"	"1981"	"1981"	4687	1530190	306.3
	"35-44 years"	"35-44"	"Black or African American"	"2054-5"	"Female"	"F"	"1982"	"1982"	4543	1600579	283.8
	"35-44 years"	"35-44"	"Black or African American"	"2054-5"	"Female"	"F"	"1983"	"1983"	4638	1667462	278.1
	"35-44 years"	"35-44"	"Black or African American"	"2054-5"	"Female"	"F"	"1984"	"1984"	4965	1746846	284.2
	"35-44 years"	"35-44"	"Black or African American"	"2054-5"	"Female"	"F"	"1985"	"1985"	5055	1827634	276.6
	"35-44 years"	"35-44"	"Black or African American"	"2054-5"	"Female"	"F"	"1986"	"1986"	5532	1920837	288.0
	"35-44 years"	"35-44"	"Black or African American"	"2054-5"	"Female"	"F"	"1987"	"1987"	5889	2007211	293.4
	"35-44 years"	"35-44"	"Black or African American"	"2054-5"	"Female"	"F"	"1988"	"1988"	6382	2094392	304.7
	"35-44 years"	"35-44"	"Black or African American"	"2054-5"	"Female"	"F"	"1989"	"1989"	6554	2194611	298.6
	"35-44 years"	"35-44"	"Black or African American"	"2054-5"	"Female"	"F"	"1990"	"1990"	6804	2278832	298.6
	"35-44 years"	"35-44"	"Black or African American"	"2054-5"	"Female"	"F"	"1991"	"1991"	7358	2431756	302.6
	"35-44 years"	"35-44"	"Black or African American"	"2054-5"	"Female"	"F"	"1992"	"1992"	7921	2529967	313.1
	"35-44 years"	"35-44"	"Black or African American"	"2054-5"	"Female"	"F"	"1993"	"1993"	8279	2621893	315.8
	"35-44 years"	"35-44"	"Black or African American"	"2054-5"	"Female"	"F"	"1994"	"1994"	8812	2708197	325.4
	"35-44 years"	"35-44"	"Black or African American"	"2054-5"	"Female"	"F"	"1995"	"1995"	9051	2785673	324.9
	"35-44 years"	"35-44"	"Black or African American"	"2054-5"	"Female"	"F"	"1996"	"1996"	8955	2855521	313.6
	"35-44 years"	"35-44"	"Black or African American"	"2054-5"	"Female"	"F"	"1997"	"1997"	8302	2923476	284.0
	"35-44 years"	"35-44"	"Black or African American"	"2054-5"	"Female"	"F"	"1998"	"1998"	8415	2984697	281.9
"Total"	"35-44 years"	"35-44"	"Black or African American"	"2054-5"	"Female"	"F"			131644	43655586	301.6
	"35-44 years"	"35-44"	"Black or African American"	"2054-5"	"Male"	"M"	"1979"	"1979"	8480	1212000	699.7
	"35-44 years"	"35-44"	"Black or African American"	"2054-5"	"Male"	"M"	"1980"	"1980"	8521	1235256	689.8
	"35-44 years"	"35-44"	"Black or African American"	"2054-5"	"Male"	"M"	"1981"	"1981"	8496	1274148	666.8
	"35-44 years"	"35-44"	"Black or African American"	"2054-5"	"Male"	"M"	"1982"	"1982"	8117	1336685	607.2
	"35-44 years"	"35-44"	"Black or African American"	"2054-5"	"Male"	"M"	"1983"	"1983"	8194	1397407	586.4
	"35-44 years"	"35-44"	"Black or African American"	"2054-5"	"Male"	"M"	"1984"	"1984"	8920	1469294	607.1
	"35-44 years"	"35-44"	"Black or African American"	"2054-5"	"Male"	"M"	"1985"	"1985"	9724	1542951	630.2
	"35-44 years"	"35-44"	"Black or African American"	"2054-5"	"Male"	"M"	"1986"	"1986"	10767	1629345	660.8
	"35-44 years"	"35-44"	"Black or African American"	"2054-5"	"Male"	"M"	"1987"	"1987"	11666	1706898	683.5
	"35-44 years"	"35-44"	"Black or African American"	"2054-5"	"Male"	"M"	"1988"	"1988"	12643	1789129	706.7
	"35-44 years"	"35-44"	"Black or African American"	"2054-5"	"Male"	"M"	"1989"	"1989"	13521	1882554	718.2
	"35-44 years"	"35-44"	"Black or African American"	"2054-5"	"Male"	"M"	"1990"	"1990"	13727	1962145	699.6
	"35-44 years"	"35-44"	"Black or African American"	"2054-5"	"Male"	"M"	"1991"	"1991"	14701	2100406	699.9
	"35-44 years"	"35-44"	"Black or African American"	"2054-5"	"Male"	"M"	"1992"	"1992"	15257	2193430	695.6
	"35-44 years"	"35-44"	"Black or African American"	"2054-5"	"Male"	"M"	"1993"	"1993"	16585	2278946	727.7
	"35-44 years"	"35-44"	"Black or African American"	"2054-5"	"Male"	"M"	"1994"	"1994"	17198	2357663	729.5
	"35-44 years"	"35-44"	"Black or African American"	"2054-5"	"Male"	"M"	"1995"	"1995"	17425	2430841	716.8
	"35-44 years"	"35-44"	"Black or African American"	"2054-5"	"Male"	"M"	"1996"	"1996"	15635	2497225	626.1
	"35-44 years"	"35-44"	"Black or African American"	"2054-5"	"Male"	"M"	"1997"	"1997"	13345	2565521	520.2
	"35-44 years"	"35-44"	"Black or African American"	"2054-5"	"Male"	"M"	"1998"	"1998"	12590	2628678	478.9
"Total"	"35-44 years"	"35-44"	"Black or African American"	"2054-5"	"Male"	"M"			245512	37490522	654.9
"Total"	"35-44 years"	"35-44"	"Black or African American"	"2054-5"					377156	81146108	464.8
	"35-44 years"	"35-44"	"White"	"2106-3"	"Female"	"F"	"1979"	"1979"	15558	11042000	140.9
	"35-44 years"	"35-44"	"White"	"2106-3"	"Female"	"F"	"1980"	"1980"	15520	11231594	138.2
	"35-44 years"	"35-44"	"White"	"2106-3"	"Female"	"F"	"1981"	"1981"	15439	11522519	134.0
	"35-44 years"	"35-44"	"White"	"2106-3"	"Female"	"F"	"1982"	"1982"	15666	12231142	128.1
	"35-44 years"	"35-44"	"White"	"2106-3"	"Female"	"F"	"1983"	"1983"	15816	12741961	124.1
	"35-44 years"	"35-44"	"White"	"2106-3"	"Female"	"F"	"1984"	"1984"	16464	13236389	124.4
	"35-44 years"	"35-44"	"White"	"2106-3"	"Female"	"F"	"1985"	"1985"	16701	13699109	121.9
	"35-44 years"	"35-44"	"White"	"2106-3"	"Female"	"F"	"1986"	"1986"	17340	14207002	122.1
	"35-44 years"	"35-44"	"White"	"2106-3"	"Female"	"F"	"1987"	"1987"	17631	14673921	120.2
	"35-44 years"	"35-44"	"White"	"2106-3"	"Female"	"F"	"1988"	"1988"	18021	15004788	120.1
	"35-44 years"	"35-44"	"White"	"2106-3"	"Female"	"F"	"1989"	"1989"	18321	15456765	118.5
	"35-44 years"	"35-44"	"White"	"2106-3"	"Female"	"F"	"1990"	"1990"	18589	15834123	117.4
	"35-44 years"	"35-44"	"White"	"2106-3"	"Female"	"F"	"1991"	"1991"	19405	16555202	117.2
	"35-44 years"	"35-44"	"White"	"2106-3"	"Female"	"F"	"1992"	"1992"	19597	16723220	117.2
	"35-44 years"	"35-44"	"White"	"2106-3"	"Female"	"F"	"1993"	"1993"	20494	17047069	120.2
	"35-44 years"	"35-44"	"White"	"2106-3"	"Female"	"F"	"1994"	"1994"	21073	17367855	121.3
	"35-44 years"	"35-44"	"White"	"2106-3"	"Female"	"F"	"1995"	"1995"	22190	17686020	125.5
	"35-44 years"	"35-44"	"White"	"2106-3"	"Female"	"F"	"1996"	"1996"	21836	17985735	121.4
	"35-44 years"	"35-44"	"White"	"2106-3"	"Female"	"F"	"1997"	"1997"	21963	18204085	120.6
	"35-44 years"	"35-44"	"White"	"2106-3"	"Female"	"F"	"1998"	"1998"	22380	18349615	122.0
"Total"	"35-44 years"	"35-44"	"White"	"2106-3"	"Female"	"F"			370004	300800114	123.0
	"35-44 years"	"35-44"	"White"	"2106-3"	"Male"	"M"	"1979"	"1979"	27898	10835000	257.5
	"35-44 years"	"35-44"	"White"	"2106-3"	"Male"	"M"	"1980"	"1980"	28344	11009931	257.4
	"35-44 years"	"35-44"	"White"	"2106-3"	"Male"	"M"	"1981"	"1981"	28678	11313440	253.5
	"35-44 years"	"35-44"	"White"	"2106-3"	"Male"	"M"	"1982"	"1982"	28830	12030746	239.6
	"35-44 years"	"35-44"	"White"	"2106-3"	"Male"	"M"	"1983"	"1983"	29419	12550970	234.4
	"35-44 years"	"35-44"	"White"	"2106-3"	"Male"	"M"	"1984"	"1984"	30846	13055802	236.3
	"35-44 years"	"35-44"	"White"	"2106-3"	"Male"	"M"	"1985"	"1985"	32907	13538400	243.1
	"35-44 years"	"35-44"	"White"	"2106-3"	"Male"	"M"	"1986"	"1986"	35206	14075520	250.1
	"35-44 years"	"35-44"	"White"	"2106-3"	"Male"	"M"	"1987"	"1987"	36664	14571522	251.6
	"35-44 years"	"35-44"	"White"	"2106-3"	"Male"	"M"	"1988"	"1988"	38739	14929233	259.5
	"35-44 years"	"35-44"	"White"	"2106-3"	"Male"	"M"	"1989"	"1989"	40610	15416918	263.4
	"35-44 years"	"35-44"	"White"	"2106-3"	"Male"	"M"	"1990"	"1990"	42434	15818973	268.2
	"35-44 years"	"35-44"	"White"	"2106-3"	"Male"	"M"	"1991"	"1991"	44552	16581171	268.7
	"35-44 years"	"35-44"	"White"	"2106-3"	"Male"	"M"	"1992"	"1992"	46416	16776783	276.7
	"35-44 years"	"35-44"	"White"	"2106-3"	"Male"	"M"	"1993"	"1993"	48302	17119193	282.2
	"35-44 years"	"35-44"	"White"	"2106-3"	"Male"	"M"	"1994"	"1994"	50000	17458450	286.4
	"35-44 years"	"35-44"	"White"	"2106-3"	"Male"	"M"	"1995"	"1995"	51049	17797640	286.8
	"35-44 years"	"35-44"	"White"	"2106-3"	"Male"	"M"	"1996"	"1996"	47062	18113608	259.8
	"35-44 years"	"35-44"	"White"	"2106-3"	"Male"	"M"	"1997"	"1997"	43192	18349684	235.4
	"35-44 years"	"35-44"	"White"	"2106-3"	"Male"	"M"	"1998"	"1998"	42967	18513406	232.1
"Total"	"35-44 years"	"35-44"	"White"	"2106-3"	"Male"	"M"			774115	299856390	258.2
"Total"	"35-44 years"	"35-44"	"White"	"2106-3"					1144119	600656504	190.5
"Total"	"35-44 years"	"35-44"							1521275	681802612	223.1
	"45-54 years"	"45-54"	"Black or African American"	"2054-5"	"Female"	"F"	"1979"	"1979"	9498	1251000	759.2
	"45-54 years"	"45-54"	"Black or African American"	"2054-5"	"Female"	"F"	"1980"	"1980"	9660	1257538	768.2
	"45-54 years"	"45-54"	"Black or African American"	"2054-5"	"Female"	"F"	"1981"	"1981"	9092	1261047	721.0
	"45-54 years"	"45-54"	"Black or African American"	"2054-5"	"Female"	"F"	"1982"	"1982"	8740	1264487	691.2
	"45-54 years"	"45-54"	"Black or African American"	"2054-5"	"Female"	"F"	"1983"	"1983"	8799	1273406	691.0
	"45-54 years"	"45-54"	"Black or African American"	"2054-5"	"Female"	"F"	"1984"	"1984"	8561	1283727	666.9
	"45-54 years"	"45-54"	"Black or African American"	"2054-5"	"Female"	"F"	"1985"	"1985"	8665	1298016	667.6
	"45-54 years"	"45-54"	"Black or African American"	"2054-5"	"Female"	"F"	"1986"	"1986"	8818	1312967	671.6
	"45-54 years"	"45-54"	"Black or African American"	"2054-5"	"Female"	"F"	"1987"	"1987"	8887	1335660	665.4
	"45-54 years"	"45-54"	"Black or African American"	"2054-5"	"Female"	"F"	"1988"	"1988"	8951	1366071	655.2
	"45-54 years"	"45-54"	"Black or African American"	"2054-5"	"Female"	"F"	"1989"	"1989"	8936	1395290	640.4
	"45-54 years"	"45-54"	"Black or African American"	"2054-5"	"Female"	"F"	"1990"	"1990"	9052	1415642	639.4
	"45-54 years"	"45-54"	"Black or African American"	"2054-5"	"Female"	"F"	"1991"	"1991"	9219	1460229	631.3
	"45-54 years"	"45-54"	"Black or African American"	"2054-5"	"Female"	"F"	"1992"	"1992"	9491	1537181	617.4
	"45-54 years"	"45-54"	"Black or African American"	"2054-5"	"Female"	"F"	"1993"	"1993"	10122	1611541	628.1
	"45-54 years"	"45-54"	"Black or African American"	"2054-5"	"Female"	"F"	"1994"	"1994"	10584	1697510	623.5
	"45-54 years"	"45-54"	"Black or African American"	"2054-5"	"Female"	"F"	"1995"	"1995"	10955	1789727	612.1
	"45-54 years"	"45-54"	"Black or African American"	"2054-5"	"Female"	"F"	"1996"	"1996"	11374	1887549	602.6
	"45-54 years"	"45-54"	"Black or African American"	"2054-5"	"Female"	"F"	"1997"	"1997"	11547	1984719	581.8
	"45-54 years"	"45-54"	"Black or African American"	"2054-5"	"Female"	"F"	"1998"	"1998"	11905	2079531	572.5
"Total"	"45-54 years"	"45-54"	"Black or African American"	"2054-5"	"Female"	"F"			192856	29762838	648.0
	"45-54 years"	"45-54"	"Black or African American"	"2054-5"	"Male"	"M"	"1979"	"1979"	15148	1024000	1479.3
	"45-54 years"	"45-54"	"Black or African American"	"2054-5"	"Male"	"M"	"1980"	"1980"	15156	1024110	1479.9
	"45-54 years"	"45-54"	"Black or African American"	"2054-5"	"Male"	"M"	"1981"	"1981"	14583	1030724	1414.8
	"45-54 years"	"45-54"	"Black or African American"	"2054-5"	"Male"	"M"	"1982"	"1982"	13791	1035289	1332.1
	"45-54 years"	"45-54"	"Black or African American"	"2054-5"	"Male"	"M"	"1983"	"1983"	13529	1045100	1294.5
	"45-54 years"	"45-54"	"Black or African American"	"2054-5"	"Male"	"M"	"1984"	"1984"	13537	1055738	1282.2
	"45-54 years"	"45-54"	"Black or African American"	"2054-5"	"Male"	"M"	"1985"	"1985"	13821	1068992	1292.9
	"45-54 years"	"45-54"	"Black or African American"	"2054-5"	"Male"	"M"	"1986"	"1986"	13830	1082383	1277.7
	"45-54 years"	"45-54"	"Black or African American"	"2054-5"	"Male"	"M"	"1987"	"1987"	14114	1105212	1277.0
	"45-54 years"	"45-54"	"Black or African American"	"2054-5"	"Male"	"M"	"1988"	"1988"	14681	1131509	1297.5
	"45-54 years"	"45-54"	"Black or African American"	"2054-5"	"Male"	"M"	"1989"	"1989"	15174	1156791	1311.7
	"45-54 years"	"45-54"	"Black or African American"	"2054-5"	"Male"	"M"	"1990"	"1990"	14819	1175149	1261.0
	"45-54 years"	"45-54"	"Black or African American"	"2054-5"	"Male"	"M"	"1991"	"1991"	15145	1214347	1247.2
	"45-54 years"	"45-54"	"Black or African American"	"2054-5"	"Male"	"M"	"1992"	"1992"	15514	1283708	1208.5
	"45-54 years"	"45-54"	"Black or African American"	"2054-5"	"Male"	"M"	"1993"	"1993"	16796	1349024	1245.0
	"45-54 years"	"45-54"	"Black or African American"	"2054-5"	"Male"	"M"	"1994"	"1994"	17687	1425035	1241.2
	"45-54 years"	"45-54"	"Black or African American"	"2054-5"	"Male"	"M"	"1995"	"1995"	18664	1506501	1238.9
	"45-54 years"	"45-54"	"Black or African American"	"2054-5"	"Male"	"M"	"1996"	"1996"	18397	1593380	1154.6
	"45-54 years"	"45-54"	"Black or African American"	"2054-5"	"Male"	"M"	"1997"	"1997"	18067	1681191	1074.7
	"45-54 years"	"45-54"	"Black or African American"	"2054-5"	"Male"	"M"	"1998"	"1998"	18360	1769323	1037.7
"Total"	"45-54 years"	"45-54"	"Black or African American"	"2054-5"	"Male"	"M"			310813	24757506	1255.4
"Total"	"45-54 years"	"45-54"	"Black or African American"	"2054-5"					503669	54520344	923.8
	"45-54 years"	"45-54"	"White"	"2106-3"	"Female"	"F"	"1979"	"1979"	38908	10389000	374.5
	"45-54 years"	"45-54"	"White"	"2106-3"	"Female"	"F"	"1980"	"1980"	38328	10285081	372.7
	"45-54 years"	"45-54"	"White"	"2106-3"	"Female"	"F"	"1981"	"1981"	37542	10123744	370.8
	"45-54 years"	"45-54"	"White"	"2106-3"	"Female"	"F"	"1982"	"1982"	35575	10008291	355.5
	"45-54 years"	"45-54"	"White"	"2106-3"	"Female"	"F"	"1983"	"1983"	34914	9934259	351.5
	"45-54 years"	"45-54"	"White"	"2106-3"	"Female"	"F"	"1984"	"1984"	34052	9910332	343.6
	"45-54 years"	"45-54"	"White"	"2106-3"	"Female"	"F"	"1985"	"1985"	33857	9909290	341.7
	"45-54 years"	"45-54"	"White"	"2106-3"	"Female"	"F"	"1986"	"1986"	33156	9963049	332.8
	"45-54 years"	"45-54"	"White"	"2106-3"	"Female"	"F"	"1987"	"1987"	33273	10127527	328.5
	"45-54 years"	"45-54"	"White"	"2106-3"	"Female"	"F"	"1988"	"1988"	33626	10495138	320.4
	"45-54 years"	"45-54"	"White"	"2106-3"	"Female"	"F"	"1989"	"1989"	33501	10780038	310.8
	"45-54 years"	"45-54"	"White"	"2106-3"	"Female"	"F"	"1990"	"1990"	33862	10946272	309.3
	"45-54 years"	"45-54"	"White"	"2106-3"	"Female"	"F"	"1991"	"1991"	34332	11244662	305.3
	"45-54 years"	"45-54"	"White"	"2106-3"	"Female"	"F"	"1992"	"1992"	35116	11989079	292.9
	"45-54 years"	"45-54"	"White"	"2106-3"	"Female"	"F"	"1993"	"1993"	37007	12532210	295.3
	"45-54 years"	"45-54"	"White"	"2106-3"	"Female"	"F"	"1994"	"1994"	38525	13049744	295.2
	"45-54 years"	"45-54"	"White"	"2106-3"	"Female"	"F"	"1995"	"1995"	39624	13574568	291.9
	"45-54 years"	"45-54"	"White"	"2106-3"	"Female"	"F"	"1996"	"1996"	40520	14089331	287.6
	"45-54 years"	"45-54"	"White"	"2106-3"	"Female"	"F"	"1997"	"1997"	41204	14629907	281.6
	"45-54 years"	"45-54"	"White"	"2106-3"	"Female"	"F"	"1998"	"1998"	41244	15006729	274.8
"Total"	"45-54 years"	"45-54"	"White"	"2106-3"	"Female"	"F"			728166	228988251	318.0
	"45-54 years"	"45-54"	"White"	"2106-3"	"Male"	"M"	"1979"	"1979"	70086	9853000	711.3
	"45-54 years"	"45-54"	"White"	"2106-3"	"Male"	"M"	"1980"	"1980"	68306	9774005	698.9
	"45-54 years"	"45-54"	"White"	"2106-3"	"Male"	"M"	"1981"	"1981"	66224	9662879	685.3
	"45-54 years"	"45-54"	"White"	"2106-3"	"Male"	"M"	"1982"	"1982"	63110	9582793	658.6
	"45-54 years"	"45-54"	"White"	"2106-3"	"Male"	"M"	"1983"	"1983"	60782	9534316	637.5
	"45-54 years"	"45-54"	"White"	"2106-3"	"Male"	"M"	"1984"	"1984"	59125	9530202	620.4
	"45-54 years"	"45-54"	"White"	"2106-3"	"Male"	"M"	"1985"	"1985"	58347	9537522	611.8
	"45-54 years"	"45-54"	"White"	"2106-3"	"Male"	"M"	"1986"	"1986"	57221	9610491	595.4
	"45-54 years"	"45-54"	"White"	"2106-3"	"Male"	"M"	"1987"	"1987"	57411	9790627	586.4
	"45-54 years"	"45-54"	"White"	"2106-3"	"Male"	"M"	"1988"	"1988"	57813	10166747	568.6
	"45-54 years"	"45-54"	"White"	"2106-3"	"Male"	"M"	"1989"	"1989"	58132	10454971	556.0
	"45-54 years"	"45-54"	"White"	"2106-3"	"Male"	"M"	"1990"	"1990"	58290	10624221	548.7
	"45-54 years"	"45-54"	"White"	"2106-3"	"Male"	"M"	"1991"	"1991"	59321	10930043	542.7
	"45-54 years"	"45-54"	"White"	"2106-3"	"Male"	"M"	"1992"	"1992"	62024	11685057	530.8
	"45-54 years"	"45-54"	"White"	"2106-3"	"Male"	"M"	"1993"	"1993"	64863	12230352	530.3
	"45-54 years"	"45-54"	"White"	"2106-3"	"Male"	"M"	"1994"	"1994"	67702	12748285	531.1
	"45-54 years"	"45-54"	"White"	"2106-3"	"Male"	"M"	"1995"	"1995"	70160	13279766	528.3
	"45-54 years"	"45-54"	"White"	"2106-3"	"Male"	"M"	"1996"	"1996"	70359	13798918	509.9
	"45-54 years"	"45-54"	"White"	"2106-3"	"Male"	"M"	"1997"	"1997"	70200	14349354	489.2
	"45-54 years"	"45-54"	"White"	"2106-3"	"Male"	"M"	"1998"	"1998"	70912	14733925	481.3
"Total"	"45-54 years"	"45-54"	"White"	"2106-3"	"Male"	"M"			1270388	221877474	572.6
"Total"	"45-54 years"	"45-54"	"White"	"2106-3"					1998554	450865725	443.3
"Total"	"45-54 years"	"45-54"							2502223	505386069	495.1
	"55-64 years"	"55-64"	"Black or African American"	"2054-5"	"Female"	"F"	"1979"	"1979"	15688	1044000	1502.7
	"55-64 years"	"55-64"	"Black or African American"	"2054-5"	"Female"	"F"	"1980"	"1980"	16536	1059334	1561.0
	"55-64 years"	"55-64"	"Black or African American"	"2054-5"	"Female"	"F"	"1981"	"1981"	16578	1076863	1539.5
	"55-64 years"	"55-64"	"Black or African American"	"2054-5"	"Female"	"F"	"1982"	"1982"	16541	1090373	1517.0
	"55-64 years"	"55-64"	"Black or African American"	"2054-5"	"Female"	"F"	"1983"	"1983"	17095	1102951	1549.9
	"55-64 years"	"55-64"	"Black or African American"	"2054-5"	"Female"	"F"	"1984"	"1984"	16848	1112918	1513.9
	"55-64 years"	"55-64"	"Black or African American"	"2054-5"	"Female"	"F"	"1985"	"1985"	17179	1121416	1531.9
	"55-64 years"	"55-64"	"Black or African American"	"2054-5"	"Female"	"F"	"1986"	"1986"	16976	1128029	1504.9
	"55-64 years"	"55-64"	"Black or African American"	"2054-5"	"Female"	"F"	"1987"	"1987"	16820	1132561	1485.1
	"55-64 years"	"55-64"	"Black or African American"	"2054-5"	"Female"	"F"	"1988"	"1988"	17146	1133389	1512.8
	"55-64 years"	"55-64"	"Black or African American"	"2054-5"	"Female"	"F"	"1989"	"1989"	16734	1132167	1478.1
	"55-64 years"	"55-64"	"Black or African American"	"2054-5"	"Female"	"F"	"1990"	"1990"	16480	1134501	1452.6
	"55-64 years"	"55-64"	"Black or African American"	"2054-5"	"Female"	"F"	"1991"	"1991"	15998	1142772	1399.9
	"55-64 years"	"55-64"	"Black or African American"	"2054-5"	"Female"	"F"	"1992"	"1992"	16192	1150376	1407.5
	"55-64 years"	"55-64"	"Black or African American"	"2054-5"	"Female"	"F"	"1993"	"1993"	15912	1163087	1368.1
	"55-64 years"	"55-64"	"Black or African American"	"2054-5"	"Female"	"F"	"1994"	"1994"	15882	1178893	1347.2
	"55-64 years"	"55-64"	"Black or African American"	"2054-5"	"Female"	"F"	"1995"	"1995"	16223	1197923	1354.3
	"55-64 years"	"55-64"	"Black or African American"	"2054-5"	"Female"	"F"	"1996"	"1996"	16021	1216374	1317.1
	"55-64 years"	"55-64"	"Black or African American"	"2054-5"	"Female"	"F"	"1997"	"1997"	16379	1247408	1313.0
	"55-64 years"	"55-64"	"Black or African American"	"2054-5"	"Female"	"F"	"1998"	"1998"	16423	1283284	1279.8
"Total"	"55-64 years"	"55-64"	"Black or African American"	"2054-5"	"Female"	"F"			329651	22848619	1442.8
	"55-64 years"	"55-64"	"Black or African American"	"2054-5"	"Male"	"M"	"1979"	"1979"	23614	845000	2794.6
	"55-64 years"	"55-64"	"Black or African American"	"2054-5"	"Male"	"M"	"1980"	"1980"	24534	853941	2873.0
	"55-64 years"	"55-64"	"Black or African American"	"2054-5"	"Male"	"M"	"1981"	"1981"	24199	863922	2801.1
	"55-64 years"	"55-64"	"Black or African American"	"2054-5"	"Male"	"M"	"1982"	"1982"	24023	871520	2756.4
	"55-64 years"	"55-64"	"Black or African American"	"2054-5"	"Male"	"M"	"1983"	"1983"	24716	878687	2812.8
	"55-64 years"	"55-64"	"Black or African American"	"2054-5"	"Male"	"M"	"1984"	"1984"	24642	883962	2787.7
	"55-64 years"	"55-64"	"Black or African American"	"2054-5"	"Male"	"M"	"1985"	"1985"	24657	887211	2779.2
	"55-64 years"	"55-64"	"Black or African American"	"2054-5"	"Male"	"M"	"1986"	"1986"	24208	888727	2723.9
	"55-64 years"	"55-64"	"Black or African American"	"2054-5"	"Male"	"M"	"1987"	"1987"	23686	887633	2668.4
	"55-64 years"	"55-64"	"Black or African American"	"2054-5"	"Male"	"M"	"1988"	"1988"	24007	884760	2713.4
	"55-64 years"	"55-64"	"Black or African American"	"2054-5"	"Male"	"M"	"1989"	"1989"	23786	881000	2699.9
	"55-64 years"	"55-64"	"Black or African American"	"2054-5"	"Male"	"M"	"1990"	"1990"	22993	878148	2618.4
	"55-64 years"	"55-64"	"Black or African American"	"2054-5"	"Male"	"M"	"1991"	"1991"	22450	889866	2522.9
	"55-64 years"	"55-64"	"Black or African American"	"2054-5"	"Male"	"M"	"1992"	"1992"	22204	898874	2470.2
	"55-64 years"	"55-64"	"Black or African American"	"2054-5"	"Male"	"M"	"1993"	"1993"	22683	913265	2483.7
	"55-64 years"	"55-64"	"Black or African American"	"2054-5"	"Male"	"M"	"1994"	"1994"	22068	927870	2378.4
	"55-64 years"	"55-64"	"Black or African American"	"2054-5"	"Male"	"M"	"1995"	"1995"	22545	946487	2382.0
	"55-64 years"	"55-64"	"Black or African American"	"2054-5"	"Male"	"M"	"1996"	"1996"	22438	963590	2328.6
	"55-64 years"	"55-64"	"Black or African American"	"2054-5"	"Male"	"M"	"1997"	"1997"	22265	992888	2242.4
	"55-64 years"	"55-64"	"Black or African American"	"2054-5"	"Male"	"M"	"1998"	"1998"	22390	1026115	2182.0
"Total"	"55-64 years"	"55-64"	"Black or African American"	"2054-5"	"Male"	"M"			468108	18063466	2591.5
"Total"	"55-64 years"	"55-64"	"Black or African American"	"2054-5"					797759	40912085	1949.9
	"55-64 years"	"55-64"	"White"	"2106-3"	"Female"	"F"	"1979"	"1979"	88143	10216000	862.8
	"55-64 years"	"55-64"	"White"	"2106-3"	"Female"	"F"	"1980"	"1980"	90473	10325168	876.2
	"55-64 years"	"55-64"	"White"	"2106-3"	"Female"	"F"	"1981"	"1981"	90586	10399038	871.1
	"55-64 years"	"55-64"	"White"	"2106-3"	"Female"	"F"	"1982"	"1982"	90049	10427360	863.6
	"55-64 years"	"55-64"	"White"	"2106-3"	"Female"	"F"	"1983"	"1983"	90875	10436004	870.8
